team_id,ally_draft,enemy_draft,win
1,"[1, 159, 113, 145, 72]","[109, 87, 152, 33, 19]",0
6,"[43, 115, 25, 54, 5]","[153, 125, 14, 84, 104]",1
7,"[112, 115, 25, 75, 83]","[37, 99, 23, 58, 90]",0
3,"[109, 125, 14, 145, 5]","[1, 94, 158, 167, 104]",1
8,"[40, 87, 113, 84, 15]","[109, 115, 152, 157, 104]",0
8,"[53, 99, 133, 58, 90]","[41, 159, 14, 25, 5]",0
8,"[40, 87, 14, 84, 104]","[78, 159, 133, 33, 72]",1
1,"[1, 115, 161, 145, 91]","[109, 87, 23, 33, 107]",1
7,"[112, 125, 53, 57, 107]","[43, 115, 25, 138, 19]",0
4,"[123, 150, 130, 58, 108]","[1, 115, 14, 11, 59]",1
2,"[53, 150, 2, 33, 104]","[162, 87, 133, 145, 90]",1
3,"[37, 87, 14, 57, 91]","[112, 100, 53, 11, 5]",1
6,"[6, 150, 14, 33, 5]","[112, 49, 75, 145, 90]",1
7,"[56, 159, 14, 145, 90]","[53, 87, 133, 33, 107]",0
1,"[37, 159, 113, 84, 104]","[112, 51, 14, 33, 5]",0
2,"[123, 87, 152, 145, 90]","[53, 115, 130, 33, 19]",0
6,"[6, 150, 14, 33, 15]","[123, 159, 133, 58, 108]",1
4,"[112, 125, 23, 145, 5]","[37, 159, 14, 157, 104]",1
6,"[40, 150, 13, 57, 104]","[113, 115, 161, 33, 5]",1
3,"[56, 125, 14, 11, 108]","[6, 150, 23, 25, 91]",0
4,"[39, 73, 161, 33, 72]","[22, 115, 130, 57, 31]",1
2,"[56, 125, 13, 25, 15]","[129, 159, 46, 145, 100]",0
5,"[56, 156, 3, 33, 5]","[53, 154, 14, 57, 104]",0
3,"[112, 159, 133, 145, 90]","[6, 80, 97, 25, 107]",1
8,"[52, 171, 6, 25, 100]","[109, 115, 161, 145, 72]",1
4,"[144, 49, 152, 11, 90]","[22, 156, 133, 168, 15]",0
6,"[112, 115, 161, 54, 5]","[37, 80, 126, 57, 104]",1
4,"[56, 171, 23, 25, 107]","[53, 150, 14, 33, 72]",1
8,"[56, 156, 152, 57, 31]","[6, 171, 37, 55, 72]",1
3,"[109, 159, 14, 145, 99]","[40, 115, 130, 11, 104]",1
3,"[112, 150, 13, 25, 90]","[98, 80, 53, 33, 100]",0
1,"[80, 71, 161, 168, 17]","[52, 115, 130, 167, 19]",0
2,"[56, 156, 13, 57, 90]","[143, 159, 133, 11, 72]",1
1,"[53, 49, 6, 145, 107]","[112, 150, 97, 25, 5]",1
7,"[144, 151, 2, 145, 104]","[109, 7, 161, 168, 90]",0
5,"[6, 80, 14, 21, 107]","[112, 159, 130, 84, 100]",1
7,"[56, 150, 13, 33, 99]","[53, 115, 152, 25, 19]",1
2,"[13, 94, 97, 33, 72]","[109, 150, 133, 25, 99]",0
2,"[112, 115, 161, 58, 116]","[56, 156, 14, 29, 108]",0
1,"[112, 156, 97, 55, 19]","[13, 159, 3, 84, 107]",0
1,"[53, 150, 14, 33, 31]","[6, 151, 37, 145, 100]",0
7,"[100, 150, 2, 145, 104]","[40, 115, 161, 168, 72]",0
7,"[6, 94, 97, 84, 107]","[109, 156, 13, 11, 19]",0
5,"[56, 150, 152, 21, 80]","[6, 115, 14, 54, 91]",0
5,"[52, 125, 46, 145, 72]","[144, 49, 23, 11, 107]",0
